artist,id,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
Selena Gomez & The Scene,5EcTZoITC1Igb6k9FtCNxM,0.681,0.0853,0.665,0.936,0,0.193,0.0535
Selena Gomez & The Scene,2qCQ8uX4Za5QqlUSChKbi0,0.925,0.0752,0.858,0.677,0,0.0718,0.0465
Selena Gomez & The Scene,1cgOyMBarSb3S1iuPdyRIw,0.812,0.275,0.767,0.755,1.81e-06,0.0977,0.0375
Selena Gomez & The Scene,1VENmdw9mA1R8qGKTHwjqk,0.745,0.0836,0.682,0.927,0,0.152,0.048
Selena Gomez & The Scene,6vXrHLR1dOwA7PFo2TIBDN,0.481,0.00204,0.729,0.747,1.96e-05,0.0637,0.036
Selena Gomez & The Scene,7iCKV0cfNuOfrEtfrw7a9b,0.592,0.115,0.561,0.88,0,0.302,0.0559
Selena Gomez & The Scene,0eRGBWHuykFsu8Agi6WjXI,0.457,0.0104,0.504,0.958,0.00114,0.0607,0.122
Selena Gomez & The Scene,6bwdcrFwjcdOfBADuiTd4H,0.924,0.0998,0.677,0.795,0,0.0321,0.0701
Selena Gomez & The Scene,0ptZUJMQ7hQtRktY2lLlTq,0.648,0.0687,0.615,0.869,0,0.187,0.062
Selena Gomez & The Scene,0utXMNlZkvbvjghdiILtSB,0.412,0.0108,0.511,0.928,1.41e-05,0.0562,0.251
Selena Gomez & The Scene,2agrVF8yAYBsFT0q1MbLnX,0.68,0.122,0.645,0.787,0,0.0864,0.0362
Selena Gomez & The Scene,2vBxMpjsNAe3FIBj9mlbc0,0.651,0.0201,0.689,0.875,0,0.236,0.0549
Selena Gomez & The Scene,71k9qmWMN3cXBCKSp2PrUb,0.675,0.0845,0.665,0.936,0,0.194,0.0537
Selena Gomez & The Scene,4VIsrc2bekjqbOWZUcmFqQ,0.902,0.0101,0.738,0.853,0.00012,0.206,0.0751
Selena Gomez & The Scene,6kRnfau6vRjhUhicRiVlQi,0.801,0.00212,0.767,0.745,0.791,0.0634,0.0505
